X,         Y      ,Time,Street,        Offense,Date     ,Tract,Lat,Long
1348656.471,399538.5342,32874,100 BONIFAY ST,ROBBERY,1/1/1990,160600,40.40865518,-79.9760891
1359951.481,410726.1273,32874,320 SCHENLEY RD,ROBBERY,1/1/1990,140100,40.44013011,-79.93653583
1357049.25,418429.9175,32874,4779 LIBERTY AV,ROBBERY,1/1/1990,80900,40.46107271,-79.94764804
1361745.729,419343.2848,32874,5600 PENN AV,AGGRAVATED ASSAULT,1/1/1990,111500,40.46389868,-79.93085611
1353029.519,402359.7471,32875,3247 ARLINGTON AV,ROBBERY,1/2/1990,160400,40.4166985,-79.96064401
1351340.433,410399.55,32875,183 BURROWS ST,AGGRAVATED ASSAULT,1/2/1990,51000,40.43864462,-79.96743325
1351174.047,410440.8089,32875,220 BURROWS ST,ROBBERY,1/2/1990,40200,40.43874637,-79.96803454
1348102.398,412548.4207,32875,2017 CENTRE AV,ROBBERY,1/2/1990,50100,40.44431764,-79.97925733
1348176.524,412807.903,32875,2100 WYLIE AV,RAPE,1/2/1990,50100,40.44503482,-79.97901462
1348176.524,412807.903,32875,2100 WYLIE AV,ROBBERY,1/2/1990,50100,40.44503482,-79.97901462
1347891.491,412839.7694,32875,18 DAVENPORT ST,AGGRAVATED ASSAULT,1/2/1990,50100,40.44510252,-79.98004129
1348016.777,414371.3723,32875,900 WHITESIDE RD,AGGRAVATED ASSAULT,1/2/1990,50900,40.4493141,-79.97973021
1361170.103,417108.7059,32875,5700 CENTRE AV,ROBBERY,1/2/1990,70500,40.45772762,-79.93272576
1357053.079,418023.9992,32875,4808 SCIOTA ST,ROBBERY,1/2/1990,80400,40.45995908,-79.94759798
1363624.069,418434.4007,32875,6100 PENN AV,ROBBERY,1/2/1990,111500,40.46153168,-79.92402712
1360172.801,419642.5322,32875,5400 PENN AV,AGGRAVATED ASSAULT,1/2/1990,80900,40.4646131,-79.936534
1346005.636,411360.5258,32876,1400 CENTRE AV,ROBBERY,1/3/1990,20100,40.4409124,-79.98668027
1348909.156,413189.8419,32876,2200 WYLIE AV,MURDER/MANSLAUGHTER,1/3/1990,50100,40.44613364,-79.97641775
1373633.389,414194.3643,32876,500 CORA ST,AGGRAVATED ASSAULT,1/3/1990,130400,40.45056696,-79.88769727
